mean,stdev,variance,skew,kurtosis,max,min,rms,en,fine_stdev,label
107.5460,2.0814,4.3321,-0.7184,-0.8816,109.5480,104.6200,107.5611,11569.3912,2.0814,ECU0
111.6270,11.6671,136.1219,1.0851,-0.7170,128.9520,103.6960,112.0834,12562.6786,11.6671,ECU0
98.7110,3.1246,9.7631,-0.0145,-1.9678,101.5600,95.7080,98.7481,9751.1838,3.1246,ECU0
91.9350,3.3303,11.0912,-0.5395,-0.9393,95.4000,87.3920,91.9802,8460.3626,3.3303,ECU0
114.7170,16.0151,256.4848,0.0413,-1.9451,130.8000,100.9440,115.5524,13352.3537,4.7474,ECU0
110.5640,13.7560,189.2288,1.0182,-0.7515,130.8000,100.0200,111.2040,12366.3197,4.4063,ECU0
110.3180,12.6505,160.0356,1.0332,-0.7600,128.9520,101.2320,110.8607,12290.0878,12.6505,ECU0
108.0850,2.4816,6.1583,-0.7426,-1.0380,110.1640,104.6200,108.1064,11686.9859,2.4816,ECU0
99.9430,1.9049,3.6285,-0.7987,-0.9546,101.5600,97.2480,99.9566,9991.3247,1.9049,ECU0
109.7170,14.2394,202.7594,1.0696,-0.7403,130.8000,100.6360,110.4078,12189.8896,4.6532,ECU0
117.6380,15.2241,231.7735,-0.0102,-1.9864,130.8000,103.3880,118.3745,14012.5292,13.0685,ECU0
89.8560,3.9202,15.3680,-0.2117,-1.6584,93.5520,85.2360,89.9201,8085.6267,3.9202,ECU0
94.0140,2.5708,6.6089,0.3098,-1.3678,97.2480,91.3960,94.0404,8843.5888,2.5708,ECU0
113.0900,11.9248,142.2011,1.0891,-0.7234,130.8000,105.8520,113.5606,12895.9990,11.9248,ECU0
116.1030,14.5058,210.4178,0.0180,-1.8921,130.8000,101.8680,116.7806,13637.7200,3.6649,ECU0
91.2420,4.2418,17.9925,-0.1751,-1.4877,95.7080,86.1600,91.3159,8338.5970,4.2418,ECU0
92.0890,2.4039,5.7788,-0.8825,-0.8249,94.1680,88.6240,92.1125,8484.7180,2.4039,ECU0
196.4010,15.0435,226.3060,-0.0168,-1.8995,211.1080,181.2320,196.8326,38743.0823,15.0435,ECU0
110.8570,12.1426,147.4424,1.1110,-0.7036,128.9520,103.6960,111.3546,12399.8562,12.1426,ECU0
95.4770,3.9152,15.3284,-0.2018,-1.0071,100.0200,90.4720,95.5372,9127.3539,3.9152,ECU0
110.7030,11.1856,125.1177,1.1256,-0.6871,127.4120,103.6960,111.1260,12348.9925,11.1856,ECU0
94.0140,2.1115,4.4586,-0.3154,-1.5002,96.0160,91.3960,94.0318,8841.9762,2.1115,ECU0
117.4840,15.4182,237.7204,-0.0164,-1.9782,130.8000,102.7720,118.2404,13980.7805,13.3711,ECU0
106.7760,3.2107,10.3086,0.8746,-0.8374,111.3960,104.0040,106.8122,11408.8456,3.2107,ECU0
111.0930,13.1438,172.7602,1.1516,-0.6690,130.8000,104.0040,111.6746,12471.2248,13.8140,ECU0
101.2520,3.8715,14.9885,0.5140,-1.0000,106.4880,97.2480,101.3075,10263.2089,3.8715,ECU0
112.0890,12.6727,160.5968,1.0447,-0.7395,130.8000,102.7720,112.6250,12684.3916,12.6727,ECU0
107.5610,12.8786,165.8585,0.9219,-0.8592,126.1800,97.5560,108.1377,11693.7626,4.1959,ECU0
210.9490,13.4896,181.9690,1.0206,-0.7500,230.8000,200.6360,211.2722,44635.9573,4.1580,ECU0
96.0930,2.8046,7.8658,0.7312,-0.9711,100.0200,93.5520,96.1237,9239.7640,2.8046,ECU0
112.5510,11.4123,130.2404,1.1150,-0.7001,129.5680,105.8520,112.9841,12765.4079,11.4123,ECU0
91.9350,3.3868,11.4706,-0.0570,-1.4736,95.7080,88.0080,91.9818,8460.6472,3.3868,ECU0
107.3150,4.3802,19.1862,0.6236,-1.2175,113.2440,104.0040,107.3820,11530.8989,4.3802,ECU0
98.4030,3.6649,13.4312,-0.0316,-1.9580,101.5600,94.7840,98.4542,9693.2238,3.6649,ECU0
115.5640,14.9185,222.5622,-0.0150,-1.8238,130.8000,100.0200,116.2840,13521.9597,4.4063,ECU0
107.9310,3.4880,12.1663,0.4960,-1.0182,112.6280,104.3120,107.9733,11658.2255,3.4880,ECU0
